time,Ia,Ib,Ic,Vab,Torque,Speed,Category
0.075124792,5.14E-05,4.35E-05,4.09E-05,1.41E-07,1.99997081,0.025792897,UVF
0.35,25.04371395,39.59922934,19.04710706,362.7558317,-2.027378927,0.355192777,PTGF
-1.26E-15,3.729698997,-5.824415988,-5.425325925,4.846202658,0.011757132,0.001754795,PTPF
0.2,11.20991302,11.20983663,11.21272157,474.5693257,16.57728351,148.3304373,NOM
0.086746758,10.5188772,1.874486438,4.40529641,0.008934944,119.0777615,25.73067613,PTGF
0.086746758,0.000953728,0.003331704,0.003689436,2.75E-06,16.88366445,2.037482397,PTPF
0.007525,2.865485115,20.06263173,116.2189382,2.51E-05,15178.89637,637.4924489,PTGF
0.5,41.72037051,44.33928474,70.75839231,362.4965866,517.3874952,86.6026683,PTGF
-1.26E-15,-4.13601179,-4.255834832,-5.813411102,3.778738826,0.011605565,0.008032127,PTPF
0.35,14.27428203,14.2743109,14.27430277,474.5640872,30.43950262,145.286343,NOM
0.075124792,0.000492481,0.000465172,0.000544629,1.04E-06,2.985574512,0.038819918,NOM
0.2,14.27092555,14.26970091,14.2697975,474.5640838,23.63878683,145.2283566,NOM
0.007525,7.93E-07,9.22E-07,1.06E-06,4.03E-12,13.0961852,0.001578513,NOM
0.2,9.919479853,19.43290273,29.23493918,474.4765658,-368.9611371,-107.8398725,PTGF
-1.26E-15,-3.012706091,-2.226857336,-2.074491402,3.455086996,-0.066692996,-0.012793234,NOM
0.35,11.84120843,11.84125524,11.84123138,474.5682418,25.01651554,147.763885,NOM
0.007525,110.6467775,3.513699407,19.40663646,7.98E-05,14179.51329,662.0676941,PTGF
0.35,24.84770505,32.9883708,8.258346428,427.7382946,25.11767006,134.6929178,PTPF
0.086746758,1.692774384,4.479132922,10.78048877,0.005009654,123.2026638,25.24861281,PTGF
0.5,10.63228387,10.63765246,10.64418706,474.9991122,28.95729452,149.0648247,NOM
0.086746758,0.001055429,0.001196491,0.001243682,2.43E-06,3.628499445,0.039938753,NOM
-1.26E-15,-2.490411246,-3.460245617,-1.825049281,3.262842512,-0.064118907,-0.013028537,NOM
0.086746758,0.02229893,0.020177243,0.021926731,5.99E-05,5.641162169,0.086914715,OVF
0.5,8.955390865,25.64466039,34.1869014,237.2856614,50.36159627,135.4541975,PTPF
0.075124792,6.765493875,0.834109708,2.711698908,0.006062691,84.81372764,19.37872557,PTGF
0.007525,1.90E-06,2.67E-06,2.66E-06,1.14E-11,13.32715097,0.001626103,NOM
0.075124792,0.00054841,0.000548248,0.000617425,1.21E-06,2.994449739,0.039007702,NOM
-1.26E-15,1.782433717,0.760602827,2.57687848,-0.928378318,-0.073058186,0.438348525,OVF
0.086746758,0.000890637,0.000960298,0.001031578,2.01E-06,3.618865181,0.039730507,NOM
0.086746758,1.725108655,4.523287984,10.83546653,0.005028215,123.4852586,25.30412909,PTGF
0.075124792,0.001261153,0.001487791,0.001642113,1.43E-06,16.30916361,1.975533499,PTPF
0.2,8.927063774,25.62895275,34.15871365,237.2856501,1.020854429,129.8806202,PTPF
0.2,11.01470281,11.0213549,11.0386541,584.5510464,15.997546,150.3837839,OVF
0.2,12.3192485,12.31846362,12.32021816,474.5673908,19.22140412,147.2112936,NOM
0.075124792,0.764728892,2.738736666,6.673150228,0.003552365,85.83026639,19.12351054,PTGF
0.35,19.28000742,25.62285617,39.44036563,474.5761405,5.744025674,-0.489221157,PTGF
0.35,10.39315731,10.39323446,10.39317172,474.5708208,21.55249337,149.2332848,NOM
0.5,11.32946759,11.34611506,11.33387822,562.9002474,36.81433672,150.3806277,OVF
0.007525,1.02E-06,1.25E-06,1.39E-06,5.52E-12,13.17627774,0.001593812,NOM
0.086746758,0.000244766,0.000236925,0.000210696,5.12E-07,3.480075413,0.037216576,OLF
0.007525,6.75E-07,7.70E-07,9.00E-07,3.51E-12,13.0054567,0.00156446,NOM
0.2,31.76978605,7.735058731,24.02830827,427.7635839,-3.368365879,133.7020513,PTPF
0.007525,22.65836063,124.8128081,3.754324457,0.000369124,16700.57196,685.2713116,PTGF
0.007525,1.97E-08,2.47E-08,1.52E-08,1.06E-13,11.72300087,0.001306691,OLF
0.086746758,0.000403548,0.000363352,0.000387904,8.20E-07,3.535700703,0.038249646,OLF
0.007525,119.0188342,4.010526424,21.86400309,8.28E-05,14607.34622,683.511384,PTGF
0.35,12.81191954,12.81195907,12.81194646,474.5665614,27.2336317,146.7795469,NOM
0.5,14.76525948,14.76536216,14.7669523,474.5632793,38.05869722,144.8331784,NOM
0.075124792,0.010505614,0.010040312,0.010265046,2.91E-05,4.642116497,0.072424354,OVF
0.007525,9.10E-07,1.11E-05,1.36E-05,7.59E-12,285.0581253,4.151334516,PTPF
0.2,13.04420493,13.04309256,13.04402452,474.994833,20.90451148,146.4896499,NOM
0.35,21.84768013,21.84767631,21.84767745,474.9807776,44.92840655,137.0584168,OLF
0.5,11.22470382,11.22876334,11.23457147,474.5693599,30.32711329,148.4502917,NOM
